id,name,shortName,category,unit,male_low,male_optimal_low,male_optimal_high,male_high,female_low,female_optimal_low,female_optimal_high,female_high
anion_gap,"Anion Gap","AG",kidney,mmol/L,3,8,16,25,3,8,16,25
potassium,"Potassium","K",kidney,mmol/L,3,3.5,5,5.5,3,3.5,5,5.5
sodium,"Sodium","Na",kidney,mmol/L,130,135,145,150,130,135,145,150
phosphorus,"Phosphorus","Phos",kidney,mmol/L,0.65,0.8,1.3,1.6,0.65,0.8,1.3,1.6
calcium,"Calcium","Ca",kidney,mmol/L,2,2.15,2.55,2.75,2,2.15,2.55,2.75
bicarbonate,"Bicarbonate (CO2)","HCO3",kidney,mmol/L,18,22,28,32,18,22,28,32
pth,"Parathyroid Hormone","PTH",kidney,pmol/L,0.5,1.5,6.5,10,0.5,1.5,6.5,10
hemoglobin,"Hemoglobin","Hgb",blood,g/L,120,130,175,190,110,115,155,170
testosterone_total,"Total Testosterone","Test",hormones,nmol/L,8,12,30,40,0.3,0.5,2,3
free_androgen_index,"Free Androgen Index","FAI",hormones,,15,30,150,200,0.3,0.5,5,8
cortisol,"Cortisol (Morning)","Cortisol",hormones,nmol/L,140,280,550,700,140,280,550,700
estradiol,"Estradiol (E2)","E2",hormones,pmol/L,40,70,150,220,55,110,1500,2200
progesterone,"Progesterone","Prog",hormones,nmol/L,0,0.6,4.5,6.5,0.3,1.5,65,95
dhea_s,"DHEA-Sulfate","DHEA-S",hormones,µmol/L,2.5,5,12,16,1.3,2.5,9.5,13.5
fsh,"Follicle Stimulating Hormone","FSH",hormones,mIU/mL,1,1.5,12,20,1,3,20,150
lh,"Luteinizing Hormone","LH",hormones,mIU/mL,1,1.5,9,15,1,2,15,100
folate,"Folate (Vitamin B9)","Folate",vitamins,nmol/L,5,12,45,90,5,12,45,90
vitamin_b6,"Vitamin B6","B6",vitamins,nmol/L,5,20,100,200,5,20,100,200
vitamin_a,"Vitamin A (Retinol)","Vit A",vitamins,μg/dL,20,40,80,100,20,40,80,100
vitamin_e,"Vitamin E (Alpha-Tocopherol)","Vit E",vitamins,mg/L,5,12,28,40,5,12,28,40
zinc,"Zinc","Zn",minerals,μg/dL,50,70,120,150,50,70,120,150
selenium,"Selenium","Se",minerals,μg/L,70,100,200,300,70,100,200,300
hematocrit,"Hematocrit","Hct",blood,%,36,40,50,54,33,36,44,48
rbc,"Red Blood Cell Count","RBC",blood,M/μL,4,4.5,5.5,6,3.5,4,5,5.5
wbc,"White Blood Cell Count","WBC",immunity,K/μL,3.5,4.5,10,12,3.5,4.5,10,12
platelets,"Platelet Count","PLT",blood,K/μL,100,150,350,450,100,150,350,450
vitamin_c,"Vitamin C (Ascorbic Acid)","Vit C",vitamins,mg/dL,0.2,0.6,2,3,0.2,0.6,2,3
igg,"Immunoglobulin G","IgG",immunity,mg/dL,600,700,1500,2000,600,700,1500,2000
albumin,"Albumin","Alb",liver,g/L,30,35,50,55,30,35,50,55
lymphocyte_percent,"Lymphocyte %","Lymph %",immunity,%,15,20,40,50,15,20,40,50
lymphocytes,"Lymphocytes (Absolute)","Lymph",immunity,x10⁹/L,0.8,1,4,5,0.8,1,4,5
neutrophils,"Neutrophils (Absolute)","Neut",immunity,x10⁹/L,1.5,2,6,8,1.5,2,6,8
neutrophil_percent,"Neutrophil %","Neut %",immunity,%,35,40,70,80,35,40,70,80
monocytes,"Monocytes (Absolute)","Mono",immunity,x10⁹/L,0.1,0.2,0.8,1.2,0.1,0.2,0.8,1.2
monocyte_percent,"Monocyte %","Mono %",immunity,%,1,2,10,15,1,2,10,15
eosinophils,"Eosinophils (Absolute)","Eos",immunity,x10⁹/L,0,0,0.4,0.7,0,0,0.4,0.7
eosinophil_percent,"Eosinophil %","Eos %",immunity,%,0,1,5,10,0,1,5,10
basophils,"Basophils (Absolute)","Baso",immunity,x10⁹/L,0,0,0.1,0.3,0,0,0.1,0.3
basophil_percent,"Basophil %","Baso %",immunity,%,0,0,2,3,0,0,2,3
mcv,"Mean Corpuscular Volume","MCV",blood,fL,75,80,100,105,75,80,100,105
rdw,"Red Cell Distribution Width","RDW",blood,%,10.5,11.5,14.5,16,10.5,11.5,14.5,16
alp,"Alkaline Phosphatase","ALP",liver,U/L,25,30,120,150,25,30,120,150
free_t3,"Free T3","fT3",thyroid,pmol/L,2.5,4,5.5,8,2.5,4,5.5,8
tpo_antibodies,"TPO Antibodies","TPO-Ab",thyroid,IU/mL,0,0,35,500,0,0,35,500
tg_antibodies,"Thyroglobulin Antibodies","TG-Ab",thyroid,IU/mL,0,0,40,500,0,0,40,500
testosterone_free,"Free Testosterone","Free T",hormones,pmol/L,100,250,500,700,2,5,25,40
shbg,"Sex Hormone Binding Globulin","SHBG",hormones,nmol/L,13,18,55,70,20,30,80,130
prolactin,"Prolactin","PRL",hormones,mIU/L,30,50,280,700,40,60,400,1200
active_b12,"Active B12 (Holotranscobalamin)","Active B12",vitamins,pmol/L,25,70,150,200,25,70,150,200
transferrin_saturation,"Transferrin Saturation","TSAT",minerals,%,15,25,45,65,8,18,40,55
tibc,"Total Iron Binding Capacity","TIBC",minerals,µmol/L,30,45,72,90,30,45,72,90
copper,"Copper","Cu",minerals,µmol/L,10,12,20,25,10,12,20,25
chloride,"Chloride","Cl",kidney,mmol/L,96,98,106,108,96,98,106,108
mch,"Mean Cell Haemoglobin","MCH",blood,pg,25,27,32,34,25,27,32,34
mchc,"Mean Cell Haemoglobin Concentration","MCHC",blood,g/L,310,320,350,360,310,320,350,360
esr,"Erythrocyte Sedimentation Rate","ESR",inflammation,mm/hr,0,0,10,40,0,0,12,55
fibrinogen,"Fibrinogen","Fib",inflammation,g/L,1.5,2,3.5,6,1.5,2,3.5,6
ferritin_inflammation,"Ferritin (Inflammatory Context)","Ferr",inflammation,µg/L,20,60,200,600,15,30,120,400
remnant_cholesterol,"Remnant Cholesterol","Remnant",heart,mmol/L,0,0,0.7,1.4,0,0,0.7,1.4
atherogenic_coefficient,"Atherogenic Coefficient","AC",heart,,0,0,2,4,0,0,2,4
homa_b,"HOMA-B","HOMA-B",metabolic,%,40,70,200,300,40,70,200,300
quicki,"QUICKI","QUICKI",metabolic,,0.3,0.357,0.45,0.5,0.3,0.357,0.45,0.5
mcauley_index,"McAuley Index","McAuley",metabolic,,4.5,6.3,12,15,4.5,6.3,12,15
uric_acid_hdl_ratio,"Uric Acid / HDL Ratio","UA/HDL",metabolic,,0,0,0.3,0.55,0,0,0.3,0.55
fib4,"FIB-4 Score","FIB-4",liver,,0,0,1.3,2.67,0,0,1.3,2.67
apri,"APRI Score","APRI",liver,,0,0,0.5,1.5,0,0,0.5,1.5
sii,"Systemic Immune-Inflammation Index","SII",inflammation,,100,200,500,1200,100,200,500,1200
siri,"Systemic Inflammation Response Index","SIRI",inflammation,,0,0.2,1,2,0,0.2,1,2
mlr,"Monocyte/Lymphocyte Ratio","MLR",inflammation,,0,0.1,0.3,0.5,0,0.1,0.3,0.5
nhr,"Neutrophil/HDL Ratio","NHR",inflammation,,0,1,3.5,6,0,1,3.5,6
corrected_calcium,"Corrected Calcium","Corr Ca",kidney,mmol/L,2,2.15,2.55,2.75,2,2.15,2.55,2.75
calculated_osmolality,"Calculated Osmolality","Osm",kidney,mOsm/kg,260,275,295,310,260,275,295,310
mentzer_index,"Mentzer Index","Mentzer",blood,,10,13,16,20,10,13,16,20
kdigo_risk,"KDIGO Kidney Risk","KDIGO",kidney,,1,1,1,3,1,1,1,3
tsh_index,"TSH Index","TSHI",thyroid,,1,1.3,4.1,5,1,1.3,4.1,5
phenotypic_age,"Phenotypic Age","PhenoAge",inflammation,years,18,25,70,90,18,25,70,90
age_acceleration,"Age Acceleration","Age Δ",inflammation,years,-15,-10,0,6,-15,-10,0,6
